mfcc,labels,label_names
"tensor([[[ 2.2898e+01, -4.2434e+01, -2.4034e+01,  ..., -3.8429e+01,
          -3.4453e+01, -1.0186e+01],
         [-1.1216e+01, -4.5173e+00,  1.6712e+01,  ..., -1.1691e+00,
           3.7303e+00,  1.4933e+01],
         [-3.0126e+01, -2.1994e+01, -1.9519e+01,  ...,  1.5375e+01,
           1.8927e+01,  3.6980e-02],
         ...,
         [ 3.3122e+00,  2.3923e+01,  2.6465e+01,  ..., -6.3127e+00,
          -7.3583e+00, -2.6522e+00],
         [ 8.5369e+00,  1.7031e+01,  1.4175e+01,  ..., -1.5399e+01,
          -1.5912e+01, -1.2285e+00],
         [-1.5767e+01, -2.8654e+01, -2.7183e+01,  ...,  5.7927e+00,
           2.2712e+00,  3.3225e+00]]])","[None, None, None, None, None]","[None, None, None, None, None]"
"tensor([[[  2.3349,  -4.3060,  -1.9419,  ...,  -0.8558,   3.5241,   3.5961],
         [ 74.3332,  83.5522,  85.2029,  ...,  71.6056,  75.8543,  60.6442],
         [ 10.6128,  -0.8284,  -7.7784,  ...,  -7.3242,  -9.3511,  -0.8943],
         ...,
         [ -3.8203,  -5.4327,  -0.7830,  ..., -15.3808, -13.8859,  -9.7119],
         [  8.1097,  19.3312,  21.3863,  ...,   6.0244,  12.2854,   1.5758],
         [ -2.7475,  -7.8742,  -7.6690,  ...,  -2.6709,  -3.6853,   0.2586]]])","['/m/0fx80y', None, None, None, None]","['Plucked string instrument', None, None, None, None]"
"tensor([[[-94.7342, -99.1702, -99.4547,  ..., -33.3198, -44.7428, -27.1127],
         [104.1144, 109.3191, 108.8704,  ...,  76.3504,  63.7620,  83.7927],
         [  4.7818,  -2.5924,   2.2483,  ...,  -0.3256,  -7.2192,   7.0182],
         ...,
         [  6.9046,  -0.1665,  -0.2546,  ...,   9.7184,   8.0406,  -2.0910],
         [  4.1856,   3.1914,   1.2822,  ...,  25.2603,  28.1146,  13.1214],
         [ -5.6436,   0.9983,  -5.9135,  ...,  11.0365,  13.4536,  11.9811]]])","[None, None, None, None, None]","[None, None, None, None, None]"
"tensor([[[-28.8374, -32.1206, -56.7891,  ..., -53.3489, -59.0523, -66.9300],
         [ 23.5587,  25.2440,  32.8695,  ...,  53.5431,  50.7987,  42.7020],
         [-19.8797, -18.8387, -23.5563,  ..., -30.9499, -18.2039, -19.4965],
         ...,
         [  3.4273,  -0.7159,   4.4676,  ..., -16.5764,  -6.7869, -14.1902],
         [ -0.1167,   1.1340,  12.2988,  ...,  -4.9285,  -4.9999,  -5.1679],
         [ 13.7408,  13.3243,   7.7906,  ...,  -6.0492,  -0.0799,  -1.1375]]])","[None, None, None, None, None]","[None, None, None, None, None]"
"tensor([[[ 30.2588,  26.4886,  32.5335,  ..., -38.7205, -37.6590, -37.5376],
         [ 45.0768,  42.6093,  44.4979,  ...,  16.7391,  16.6597,  26.2605],
         [-15.7705, -16.0971, -18.3661,  ...,  -6.4116, -15.0294,  -0.9959],
         ...,
         [  0.2038,  -3.6418,  -3.2805,  ...,  -8.3760,  -3.5670,  -3.4216],
         [-10.8234, -10.0450,  -9.7029,  ...,   7.1466,   8.6262,   5.8979],
         [ -5.8158, -11.6760,  -1.0817,  ...,  -6.8616,  -4.9045,  -3.9352]]])","[None, None, None, None, None]","[None, None, None, None, None]"
"tensor([[[ 5.9227e+01,  5.2771e+01,  5.2208e+01,  ...,  6.1222e+01,
           5.9699e+01,  6.0918e+01],
         [ 3.6631e+01,  3.8770e+01,  4.1532e+01,  ...,  2.0455e+01,
           2.5066e+01,  2.4552e+01],
         [-1.4004e+00, -2.3701e+00,  3.6846e+00,  ...,  6.5071e+00,
           5.1058e+00,  1.2806e+01],
         ...,
         [ 2.1307e-03, -8.0719e+00, -5.6777e+00,  ..., -7.1174e+00,
          -5.4878e+00, -7.0753e+00],
         [-6.3171e+00, -1.2179e+01, -1.2341e+01,  ..., -4.3915e+00,
          -5.0131e+00, -3.5653e+00],
         [-4.0958e+00, -3.6911e+00, -3.5645e+00,  ..., -6.3773e+00,
          -6.0949e+00, -5.6811e+00]]])","[None, '/m/064t9', None, None, None]","[None, 'Pop music', None, None, None]"
"tensor([[[-23.3820, -28.8482, -32.9565,  ..., -62.0122, -46.7663, -51.7366],
         [ 35.5046,  37.9552,  37.3945,  ...,  45.2208,  26.7776,  30.1311],
         [  4.5670,  -5.8871,   2.0960,  ...,  18.3350,  19.7676,  14.9419],
         ...,
         [ -6.1878,   0.3745,  -4.5296,  ...,   2.4589,   6.7374,   9.1019],
         [  4.8508,   3.3719,  -1.1101,  ...,   0.5311,   5.0994,   1.0779],
         [  3.0373,   1.6589,  -3.5991,  ...,  -2.8864,  -8.3619, -11.5880]]])","[None, None, None, None, '/t/dd00032']","[None, None, None, None, 'Funny music']"
"tensor([[[ 2.1148e+01, -2.3372e+01, -2.1846e+01,  ...,  1.0746e+01,
           6.3019e+00, -5.4903e+00],
         [ 7.4223e+01,  1.0316e+02,  1.0472e+02,  ...,  1.0707e+02,
           1.0778e+02,  8.7985e+01],
         [ 9.3023e-01, -1.3228e+01, -1.2012e+01,  ..., -5.7773e+00,
          -1.2722e+01,  1.0491e+01],
         ...,
         [-3.6977e+00, -9.5862e+00, -1.0852e+01,  ..., -1.0121e+01,
          -9.1947e+00, -5.3122e+00],
         [ 4.6376e-01, -6.7461e+00, -4.3882e+00,  ...,  2.8617e+00,
           1.4241e+00, -1.0688e-01],
         [-3.0139e-02, -1.2454e+00, -1.1369e+00,  ...,  8.8792e+00,
           4.1540e+00, -4.1367e-01]]])","['/m/02bxd', None, None, None, None]","['Didgeridoo', None, None, None, None]"
"tensor([[[-3.1786e+02, -3.1786e+02, -3.1786e+02,  ..., -1.7467e+02,
          -1.6801e+02, -1.3722e+02],
         [ 1.7231e-05,  1.7231e-05,  1.7231e-05,  ...,  2.9016e+01,
           3.6964e+01,  5.0066e+01],
         [-1.3764e-05, -1.3764e-05, -1.3764e-05,  ..., -2.5280e+01,
          -1.8462e+01, -2.9600e+01],
         ...,
         [ 9.9569e-05,  9.9569e-05,  9.9569e-05,  ..., -1.5663e+01,
          -1.5388e+01, -5.9471e+00],
         [-5.3704e-05, -5.3704e-05, -5.3704e-05,  ..., -1.0276e+01,
          -1.2788e+01, -6.4971e+00],
         [-1.9143e-05, -1.9143e-05, -1.9143e-05,  ...,  1.6080e+01,
           1.6504e+01,  1.6837e+01]]])","[None, None, None, None, None]","[None, None, None, None, None]"
"tensor([[[-72.1654, -65.5260, -65.5190,  ..., -72.2130, -76.3236, -78.4018],
         [-21.4863, -11.7726,  -9.2738,  ..., -28.6938, -33.4534, -25.7785],
         [-13.8541,  -8.1692,  -8.1398,  ...,  -4.2425,  -1.5859,   1.7505],
         ...,
         [-11.0787,  -8.4328,  -7.1628,  ..., -11.6419,  -4.7978, -10.5495],
         [ -0.0930,   1.3683,   2.1180,  ...,  -5.3834,   0.8676,  -4.1422],
         [-10.3365,  -2.2505,   2.0118,  ...,  -6.9786,  -7.8528,  -4.8849]]])","[None, None, None, None, None]","[None, None, None, None, None]"
"tensor([[[-1.6359e+01, -3.1798e+01, -3.0657e+01,  ..., -3.7520e+01,
          -7.6707e+00,  2.5954e+01],
         [ 4.8092e+01,  4.8563e+01,  5.4092e+01,  ...,  2.0098e+01,
           2.6195e+01,  3.2413e+01],
         [ 3.3591e+01,  2.1902e+01,  1.1094e+01,  ...,  2.5439e+01,
           3.2805e+01,  1.7285e+01],
         ...,
         [-9.6524e-01, -8.5439e+00, -7.5507e+00,  ..., -3.5218e+00,
          -4.7035e+00, -3.2549e+00],
         [-4.6250e+00,  5.4081e+00, -7.2640e-01,  ...,  4.5522e+00,
          -3.4061e+00,  3.0794e+00],
         [-2.4850e+00, -1.2576e+01, -5.1173e+00,  ...,  4.7103e-02,
          -3.3893e+00,  9.3323e-01]]])","[None, '/m/06j64v', None, None, None]","[None, 'Middle Eastern music', None, None, None]"
"tensor([[[-16.7881, -82.0862, -76.7298,  ..., -40.9684, -33.2204, -21.7618],
         [ 55.7750, 113.2604, 118.7085,  ...,  91.9337,  80.4166,  83.1151],
         [ 61.5790,  31.3986,  35.7303,  ...,  22.0995,  26.5585,  19.0660],
         ...,
         [  7.4053,   6.5390,  11.4532,  ...,   8.8632,   9.0009,   5.2298],
         [  5.0598,   9.6021,   7.4647,  ...,   6.6938,   5.3582,   6.7455],
         [ -1.9397,  -7.4591, -13.6652,  ..., -11.7390,  -5.9554,   0.2304]]])","['/m/0fx80y', None, None, None, None]","['Plucked string instrument', None, None, None, None]"
"tensor([[[ 65.0752,  60.5533,  90.1704,  ...,  65.8919,  68.5016,  64.5639],
         [ 30.7019,  40.9111,  49.5867,  ...,  44.0058,  36.2232,  27.1623],
         [-15.8309, -14.3450, -14.2780,  ...,   4.0158,   3.3910,  -1.3187],
         ...,
         [  4.6170,   3.6218,   7.5509,  ...,  -2.8809,   1.4006,  -1.1548],
         [  4.4792,   5.3594,   0.3253,  ...,  -7.6398, -11.8765, -10.6127],
         [ -0.8435,  -4.5971,  -5.5442,  ...,  -0.1753,   7.8933,   1.6517]]])","[None, '/m/01lyv', None, None, None]","[None, 'Country', None, None, None]"
"tensor([[[-1.4035e+01, -2.6138e+01, -2.2849e+01,  ..., -2.3085e+02,
          -2.3184e+02, -1.9598e+02],
         [ 7.4145e+01,  7.9949e+01,  6.2558e+01,  ...,  8.3326e+01,
           7.5795e+01,  4.0887e+01],
         [-1.1182e+01, -1.7134e+01, -6.9178e+00,  ...,  2.2952e+01,
           1.6460e+01,  1.1182e+01],
         ...,
         [-3.0225e+00, -1.2002e+01, -9.3028e+00,  ...,  1.9885e-01,
           6.1488e-01, -7.1966e-01],
         [ 2.4364e+00,  6.7473e-01,  1.5087e+00,  ..., -2.7556e+00,
          -7.6492e+00, -2.0624e+00],
         [-1.3108e+00, -3.0364e+00, -3.5806e+00,  ..., -2.6711e+00,
          -4.2598e+00, -4.4030e+00]]])","['/m/0fx80y', '/m/0g293', None, None, None]","['Plucked string instrument', 'Music of Latin America', None, None, None]"
"tensor([[[ 6.8117e+01,  7.4804e+01,  7.3212e+01,  ..., -2.8213e+02,
          -2.8213e+02, -2.8213e+02],
         [-2.4769e+01, -1.2605e+01, -2.1542e+01,  ...,  4.5546e-06,
           4.5546e-06,  4.5546e-06],
         [ 1.3606e+01,  2.1926e+00,  4.4051e+00,  ..., -9.0880e-06,
          -9.0880e-06, -9.0880e-06],
         ...,
         [ 1.3252e+00, -7.0777e+00, -8.3118e+00,  ...,  8.7433e-05,
           8.7433e-05,  8.7433e-05],
         [-1.6531e+00, -3.3988e+00,  6.3388e-01,  ..., -5.1717e-05,
          -5.1717e-05, -5.1717e-05],
         [-8.3750e+00, -6.0722e+00, -1.2326e+01,  ..., -1.7427e-05,
          -1.7427e-05, -1.7427e-05]]])","[None, None, None, None, None]","[None, None, None, None, None]"
"tensor([[[-34.0032, -34.4726, -32.4018,  ...,  79.0256,  71.9230,  68.9359],
         [ 26.2152,  31.1464,  37.7401,  ...,  28.5781,  16.4247,  17.0842],
         [  6.6042,   3.2093,   3.0368,  ...,  13.7491,   9.0869,   7.6870],
         ...,
         [-10.6392, -11.7678,  -8.4082,  ...,  -0.2865,  -2.9085,   2.8420],
         [  3.8192,   0.9728,   2.3291,  ...,   3.2236,  -6.3068,   5.2488],
         [  6.9270,   3.9835,   9.1238,  ...,   0.1229,  -7.1424, -10.7310]]])","[None, None, None, None, None]","[None, None, None, None, None]"
"tensor([[[ 14.7275,  14.4609,  12.1014,  ..., -22.7099,   6.2770,  -5.5713],
         [ 29.8110,  32.6419,  35.9674,  ...,  26.9001,   9.0220,  15.8520],
         [  7.3901,  12.5632,   9.6641,  ...,  22.6701,  27.3478,  24.0891],
         ...,
         [ -3.2678,  -4.3285,  -8.1557,  ...,  -4.1815,  -2.9898,  -3.7690],
         [ -6.8674,   0.5848,  -3.6224,  ...,   1.8161,  -4.1094,  -5.1769],
         [  1.9707,  -1.9148,  -2.1178,  ...,  -6.1674,  -7.5285,  -5.6453]]])","[None, '/m/06rqw', None, None, None]","[None, 'Ska', None, None, None]"
"tensor([[[-3.6703e+02, -3.6703e+02, -3.6703e+02,  ..., -2.3201e+02,
          -2.4151e+02, -2.2304e+02],
         [ 2.9937e-05,  2.9937e-05,  2.9937e-05,  ...,  1.9967e+01,
           1.5948e+01,  8.6872e+00],
         [-2.9837e-05, -2.9837e-05, -2.9837e-05,  ..., -4.6934e+01,
          -5.3287e+01, -4.1826e+01],
         ...,
         [ 1.1514e-04,  1.1514e-04,  1.1514e-04,  ..., -1.4804e+01,
          -8.9153e+00, -6.0930e+00],
         [-6.3922e-05, -6.3922e-05, -6.3922e-05,  ..., -1.1125e+01,
          -1.4171e+01, -1.0975e+01],
         [-2.4606e-05, -2.4606e-05, -2.4606e-05,  ...,  8.5669e+00,
           9.5906e+00,  8.6268e+00]]])","[None, None, None, None, None]","[None, None, None, None, None]"
"tensor([[[ 42.3920,  14.9483,  21.3755,  ..., -51.0147, -44.6596, -46.1025],
         [ -7.5508,  25.5333,  18.6902,  ...,  58.2069,  58.7843,  56.8615],
         [-31.1663, -48.1068, -46.6619,  ...,  -4.9120,  -8.4592, -15.9170],
         ...,
         [ -1.9138, -21.7735, -19.1289,  ...,  -6.9687,  -8.9289, -10.0557],
         [ 14.5321,   6.1245,  -7.0296,  ...,  10.6759,   5.2630,  16.8086],
         [ 11.6869,  10.5133,   4.1044,  ...,   4.8593,  -2.5676,   4.4134]]])","[None, None, None, None, None]","[None, None, None, None, None]"
"tensor([[[-35.9599, -20.9071, -11.9686,  ...,   1.7658,   1.8514,   6.9613],
         [  3.5596,  11.0782,   9.0747,  ...,  44.5595,  28.3589,  26.9565],
         [ 28.0197,   9.2141,  13.4556,  ...,   7.4739,   8.7042,  -0.3593],
         ...,
         [  0.3616,  -0.7137,  -5.7216,  ...,   6.2421,   1.5531,   2.8280],
         [ -3.0334,   6.4648,   6.9943,  ...,  -1.3498,  -0.5336,  -4.0028],
         [  1.0537,   1.8366,   3.5785,  ...,  -0.3837,   6.3310,   3.3070]]])","[None, None, None, None, None]","[None, None, None, None, None]"
"tensor([[[ 23.4409,  23.1549,  20.3336,  ...,  12.7232,  17.8043,  12.7293],
         [-24.8072, -25.5520, -34.3123,  ..., -42.7093, -41.1275, -40.5113],
         [-34.8605, -27.3462, -31.6650,  ..., -28.8740, -27.3543, -23.4188],
         ...,
         [ -6.5166,  -4.9924, -13.9989,  ...,  -1.4580,  -6.0595,   1.2862],
         [  2.6350,   8.7606,   1.4216,  ...,  -2.0971,  -4.5209,   2.7944],
         [  0.7768,  -2.2131,  -6.8316,  ...,   1.4348,  -0.3724,   6.2338]]])","[None, None, None, None, None]","[None, None, None, None, None]"
